X,Z
-0.711814328752414,-0.49378546986475585
-1.2958290520574502,-1.1197150305672614
-1.9017047750828238,-1.7413890470447806
-2.524154444559717,-2.359108649710414
-3.1578910072193134,-2.9731749689772617
-3.7976274097928036,-3.5838891352584334
-4.431564800983623,-4.184095756865023
-5.061690659593563,-4.792906702921389
-5.690180424453162,-5.406803621688265
-6.302868746892527,-6.014993160831995
-6.9095480911130815,-6.630866824898462
-7.526140354054773,-7.265846854105122
-8.13787282321898,-7.909696336010359
-8.72793039728126,-8.55860717688286
-9.307419342056392,-9.181931831503826
-9.889989377187426,-9.786278999770133
-10.473421228690006,-10.392974591713289
-11.049143680382155,-11.0145080568454
-11.644591650465642,-11.648914023908535
-12.236111737495847,-12.297735835498804
-12.833956973271377,-12.98626143029447
-13.437131258736244,-13.71457599382845
-14.029070432133173,-14.45461746103302
-14.588157889110704,-15.223394889194116
-15.13189666505371,-16.001624224283574
-15.67916436635809,-16.784450978250238
-16.22699194151439,-17.53558322899624
-16.762280790406496,-18.276633197442145
-17.300731546339517,-19.010560799643137
-17.803892081476327,-19.761775688930374
-18.29356429858164,-20.51091731640092
-18.808701636196425,-21.234021608609318
-19.294263039463978,-21.94822597153572
-19.723999126709415,-22.66886894330611
-20.15869255520193,-23.371748925602077
-20.601930075188967,-24.07085589904885
-21.05264222508958,-24.742125880789402
-21.51063757354305,-25.417633865660388
-21.967418164128226,-26.11354756088867
-22.44256387286289,-26.843363335397157
-22.94676762859779,-27.560328542474615
-23.49645966948456,-28.27002381605847
-24.031645875389778,-29.00027448402883
-24.561005964441357,-29.752355180437725
-25.10418499278812,-30.5042175893168
-25.63795844640554,-31.27604241495589
-26.17037481945769,-32.034133562838406
-26.68614672335508,-32.77975746756715
-27.183945272898395,-33.54127390892596
-27.692675543413152,-34.30714807538112
-28.203135402926776,-35.067469257243204
-28.723016138479217,-35.839240209100915
-29.26704015578241,-36.60532310194269
-29.794709155659106,-37.38684535867911
-30.325761856052708,-38.17517678266205
-30.85768079152612,-38.96653692753292
-31.394438341936898,-39.72754447642703
-31.934638700156327,-40.479560383073135
-32.48449967398639,-41.23281866525109
-33.02090832989815,-41.972049484762834
-33.54459165322877,-42.70451451249858
-34.0668901631114,-43.42410388246856
-34.605061303648455,-44.132015813781436
-35.1207942775503,-44.841977200034
-35.646358121885015,-45.563815429426484
-36.188345463881305,-46.29778600295589
-36.762408535450945,-47.026824855462806
-37.3359747742522,-47.76138945495803
-37.889647350516015,-48.479736757909144
-38.41152521517637,-49.17929826217582
-38.93286798819135,-49.864815970657716
-39.461708182959505,-50.56070641651924
-39.99712657667271,-51.27718229572005
-40.531601976412624,-52.00144749459798
-41.0808171069684,-52.758450918806034
-41.724114789344085,-53.56198904723682
-42.33294166571724,-54.354137105285446
-42.88882219573924,-55.13512478127104
-43.40124409153145,-55.88739088972736
-43.87923811558561,-56.632821166193075
-44.396651134166795,-57.405165557287134
-44.88002063292525,-58.15354158909385
-45.328921877139344,-58.88983004219379
-45.772126176303104,-59.62135112270313
-46.245683683194656,-60.36467016069267
-46.7852497795088,-61.12270665631803
-47.278441103916094,-61.859230916879135
-47.78835158563977,-62.60381387727557
-48.31011541186092,-63.36461367683216
-48.8522904581964,-64.16050936893464
-49.44424206895053,-64.98945874635993
-50.01268025459014,-65.78339666776199
-50.59236225436214,-66.57412037789186
-51.17946237878607,-67.35763845256116
-51.778153353585054,-68.13292053667219
-52.37903775250524,-68.90785104333379
-52.98696322653515,-69.67123901426034
-53.59856873169253,-70.43629331943484
-54.200525943046436,-71.20528963713662
-54.80283688907597,-71.97303780841227
-55.398378503782965,-72.74552489949215
-55.98802570223011,-73.52102447189812
-56.560545402991295,-74.30599223515684
-57.12487212308149,-75.10962384466498
-57.72380266415601,-75.93231272412669
-58.3173631839725,-76.72154358259994
-58.88593404775928,-77.51773496802791
-59.425831930038534,-78.2995886358425
-59.933514435388,-79.07780145523445
-60.501698423018276,-79.81265191700945
-61.05113250036108,-80.52485286642788
-61.58734991759856,-81.226520007679
-62.16055514415396,-81.91625052163147
-62.74110710522022,-82.61885082155904
-63.366716805665035,-83.34026941950472
-63.979800784144196,-84.05216882993616
-64.55382234659632,-84.81630257123555
-65.09681270697614,-85.59788334433615
-65.66220583542989,-86.41850164548379
-66.29205668916288,-87.24426840390885
-66.92307231085145,-88.0668455922424
-67.57417183176473,-88.8907571892104
-68.33201339586782,-89.67319743385954
-69.01425129126646,-90.43357796705902
-69.65305866501195,-91.17993983423169
-70.23556914404442,-91.91808292725091
-70.74519413945168,-92.6627108679855
-71.20905926149692,-93.42148755837891
-71.67257010167846,-94.2121432598975
-72.11743636694268,-95.01963174198693
-72.59010189166308,-95.82976489212537
-73.09035022121743,-96.65711029995764
-73.66541710949036,-97.46215606554964
-74.2012094623427,-98.26075910606208
-74.75648267125392,-99.04245042453044
-75.39868220802282,-99.83609164593526
-75.93684821755511,-100.60248200018714
-76.42407472326296,-101.36304023116716
-76.88141689306985,-102.12102117145801
-77.3040125477909,-102.88017886193914
-77.71706589518192,-103.65179923288574
-78.12513085083467,-104.43580763515916
-78.54631374310675,-105.24199453812503
-79.01601067200353,-106.06783897072285
-79.56756241371576,-106.89157056806283
-80.18770412375619,-107.7370754441245
-80.7219895132925,-108.5532682805193
-81.27075031638579,-109.37293593839797
-81.81738253262718,-110.1979708998093
-82.35490595186639,-111.03253052743513
-82.90686614007132,-111.8540799934687
-83.45693413720878,-112.67222459670404
-84.02615146060799,-113.49313916563936
-84.61370464493504,-114.29763396825226
-85.20933138900877,-115.08935461089226
-85.79024870285095,-115.87016541352293
-86.38327528560627,-116.63486696199527
-86.94801755159213,-117.40275501632013
-87.49988282185178,-118.17721620923103
-88.04693670541855,-118.94918656408308
-88.60469451864354,-119.72827036914805
