X,Z
-0.6983144203572552,-0.5642162337227369
-1.3362883105503132,-1.1757566181684096
-1.9727062408820633,-1.7868083235337298
-2.609060576466728,-2.3962537203985277
-3.2468436824185294,-3.0029751793426334
-3.887547923851698,-3.6058550709458825
-4.537615166571854,-4.1951636048304195
-5.191229479960755,-4.789513533045114
-5.8456254001174015,-5.384272369025512
-6.506640898820401,-5.967674995185585
-7.167089861119913,-6.549263302391871
-7.825357290552715,-7.1313667537465895
-8.475276012190914,-7.723009169780247
-9.114795882651283,-8.329939746043182
-9.756021772961622,-8.931793993676305
-10.405864586949933,-9.530664509438454
-11.065087097552343,-10.127767907609107
-11.717060529451908,-10.744845561705514
-12.380119230239272,-11.360717771236306
-13.020278077943377,-11.978438754129465
-13.637691794964574,-12.609303467645905
-14.240544462115585,-13.252126461621891
-14.841776590201206,-13.901030721764908
-15.41136953437979,-14.571662379061966
-15.96513197383582,-15.249008505641559
-16.52425598028696,-15.921515376304342
-17.108091301469667,-16.583064816044875
-17.689586750729838,-17.250276084826098
-18.27607477414766,-17.92045355693927
-18.82291439955478,-18.59925660967325
-19.365019129209916,-19.28420891789254
-19.922062640947324,-19.957979460349293
-20.48578998022743,-20.621076194769017
-21.024897812114453,-21.286914341923293
-21.581262769136156,-21.941310554894756
-22.175371988177083,-22.570924962925986
-22.803381670568612,-23.177504102597613
-23.43875182555451,-23.7899786118409
-24.05997687388134,-24.419251071150487
-24.676257330173428,-25.05050370449436
-25.30078785864144,-25.68401155619018
-25.926659832567626,-26.31816437422713
-26.544551209037316,-26.948139381765852
-27.155522454901487,-27.579220616943587
-27.777608443971104,-28.200008555821945
-28.403708658839953,-28.811761431983626
-29.036620238466575,-29.412832601194527
-29.662675612838502,-30.020704651404614
-30.273894479696622,-30.630610610922233
-30.89235074440692,-31.238061878928377
-31.514920304342425,-31.83826826861098
-32.13070226640639,-32.440976504572546
-32.762643662857286,-33.03343301459906
-33.384538659893195,-33.63683221924785
-34.01502002466774,-34.23182970562447
-34.64453899597273,-34.83016065485562
-35.28931882202971,-35.42848850272378
-35.931957596735145,-36.02866921961168
-36.57373730976551,-36.63301253885574
-37.20082731834237,-37.25380427423637
-37.81604657479785,-37.87942666981739
-38.4204866434964,-38.50924306284823
-39.028841873002946,-39.139427179583016
-39.6293267504817,-39.77456822574632
-40.237430600976694,-40.406575313648176
-40.85129084208762,-41.031122847634606
-41.47921959497923,-41.650556623797655
-42.113961713868456,-42.25789991724935
-42.74161468165302,-42.882286615339424
-43.35578295979534,-43.52682839663528
-43.97070436032837,-44.16628138810775
-44.58609005468543,-44.806784866779026
-45.20722377135347,-45.44220001398378
-45.831731536731965,-46.071848575163614
-46.45046731823862,-46.698995451619865
-47.15258409670152,-47.29722306380057
-47.762670655842605,-47.92616500774369
-48.295491116345325,-48.581804249145655
-48.76114294563992,-49.279834870838116
-49.173257522011994,-49.998986499159734
-49.64234335345048,-50.68293039857427
-50.0350063513836,-51.384164231930576
-50.38226875480986,-52.09297661367028
