X,Y,Z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.990756900849454558e-01,-2.080541405407695943e-02,-3.761515954144824952e-02
-1.901901993092534937e+00,2.627661334622408695e-01,2.856368227213819111e-01
-1.890154276164338398e+00,6.539943943016996997e-01,1.205855513613664609e+00
-2.816941683421970488e+00,9.295070402529154174e-01,1.461115936847733554e+00
-3.464765605696591422e+00,5.515632648235739843e-01,7.996912107125957458e-01
-2.755172349487930994e+00,6.833400252714784129e-01,1.491870592194770140e+00
-2.407754718699401497e+00,1.777196807788752331e-01,7.021560506973588689e-01
-2.537024220928278950e+00,-2.657606663529818447e-01,-1.847568973991866592e-01
-2.389054826251104213e+00,-7.335492689955991352e-01,-1.056122998114918055e+00
-2.053360060304446844e+00,-1.206066091666049722e+00,-1.871007576696106511e+00
-3.017910847615292269e+00,-1.462729812444584221e+00,-1.809643799643595008e+00
-3.994692160588801055e+00,-1.674108911001704891e+00,-1.774756218487388182e+00
-4.941406091496283182e+00,-1.594760075778332453e+00,-2.086904413059130103e+00
-4.937331038218067292e+00,-2.588594922061767889e+00,-2.197700136142474836e+00
-5.924642524240068653e+00,-2.642090685543720063e+00,-2.048186816138824806e+00
-5.993045206887620324e+00,-1.651741320483603115e+00,-1.927649651199363490e+00
-6.335963897118408461e+00,-1.588216616790069091e+00,-2.864864345872387030e+00
-7.250511024503621726e+00,-1.281674347859718788e+00,-2.600979164116214104e+00
-7.752028922737894234e+00,-8.526112349254855172e-01,-1.849723786185470953e+00
-7.953166675760805049e+00,-4.865863525248863009e-01,-9.411152952651395953e-01
-7.579595517061873622e+00,-1.469326967135622941e-01,-7.793513823977171739e-02
-6.708656604914791544e+00,-2.748996220420509007e-02,3.987186611586837626e-01
-5.846881388849872963e+00,1.359965409143981674e-01,-8.150591159277098541e-02
-6.002817817989558158e+00,-8.515777665925039486e-01,-6.199137292464149823e-02
-5.586081804868873846e+00,-1.649846314538080172e+00,-4.968458551702986670e-01
-4.891943890623749347e+00,-1.148899213527169394e+00,2.009181805171855739e-02
-4.654192551400739397e+00,-3.331798604040810963e-01,5.474211626155468524e-01
-4.818983368534255796e+00,-1.243928378888524922e+00,9.260781613186783723e-01
-4.952542148685871837e+00,-1.053010043889743397e+00,-4.639921199429786203e-02
-4.875409962909291295e+00,-1.339385825196159674e+00,9.086083993881812759e-01
-4.977839039713317426e+00,-1.662380678478751816e+00,1.849449836070280018e+00
-5.035524929596586929e+00,-1.351454246348253729e+00,9.007680707184965163e-01
-4.264845322544181805e+00,-1.945985324804965000e+00,6.714522622301795085e-01
-4.208686620613895535e+00,-2.391128504152256085e+00,1.565148939004852302e+00
-4.237615754378583510e+00,-1.961170775741853722e+00,6.627635130366607008e-01
-3.833553982117167358e+00,-1.920841863202150224e+00,-2.510787397675818822e-01
-3.557219970747169224e+00,-1.581007341487088436e+00,-1.150051493532047164e+00
-3.838130058135583944e+00,-1.576750672647141194e+00,-1.903268436590620505e-01
-3.053461546369209856e+00,-1.745844146055694157e+00,-7.867350292945208823e-01
-2.308589602037932398e+00,-2.262455266602134696e+00,-3.645043616779995443e-01
-1.461134685522085253e+00,-2.787922910529380349e+00,-2.889800632127395019e-01
-1.220443818666063329e+00,-2.254606238622399506e+00,-1.099930884211252735e+00
-2.103315341177510511e+00,-1.784999167392355757e+00,-1.097271299833462166e+00
-1.353897771620760970e+00,-2.268718699133566830e+00,-6.451775915696580377e-01
-2.224997140204330925e+00,-1.780618151184072850e+00,-6.994338828611895709e-01
-2.984273764030515697e+00,-1.425439430660639273e+00,-1.244729293623508593e+00
-2.763763229426196233e+00,-1.881336440894003870e+00,-3.824456858767322220e-01
-2.070952943139527047e+00,-2.398225385712243529e+00,1.203860214966894215e-01
-2.882093719030878631e+00,-1.903177388289211125e+00,4.317991264454468792e-01
-2.135488795574087550e+00,-2.180939048620790466e+00,1.036306817314572193e+00
-1.194738061802961049e+00,-2.365122565346631678e+00,1.321025079945529201e+00
-1.102923228176170722e+00,-2.071402730922700552e+00,3.695532226675195542e-01
-9.778561787396858884e-01,-1.994307265616106273e+00,-6.195951597172537628e-01
-8.820163598859664944e-01,-1.699373323697982441e+00,-1.570294217793323455e+00
-7.868257448434532453e-01,-1.404597059673684090e+00,-2.521107396591192540e+00
-6.840479246238114763e-01,-1.076755159749106960e+00,-3.460232738771215732e+00
