X,Z
-359.6998313114133,-44.161716376939
-359.7252398869424,-44.98582049035053
-359.36388917099515,-44.70508738626439
-359.4870734681257,-44.86132073386478
-359.1644372369195,-44.53136146934009
-359.6062886451375,-44.38429088191969
-359.07040949113576,-44.434787161165
-359.1680247884407,-44.81477936102244
-359.3674546473783,-44.762406088102956
-360.0122740260663,-44.67349210257773
-359.52235824455437,-44.487687962527126
-359.29688143621667,-44.792291319970815
-359.4059642872776,-44.747121083120966
-359.23090262528183,-44.212134260822076
-358.9898103784519,-44.49898014742909
-358.7671239310889,-44.57407168050273
-359.3603038835877,-44.33525950168384
-359.6139123766436,-44.57993483682808
-359.3981265023658,-44.66289353077189
-359.13205441347964,-44.674805762414344
-359.1813745546805,-44.79980248807211
-358.98463222785074,-44.186922888324844
-359.2911179254378,-44.451044311043596
-359.40232585512007,-44.45635647711769
-359.4333322414322,-44.37410007597479
-359.5660036478814,-44.61490354901891
-359.46457406185345,-44.64640162180431
-359.2124993940872,-44.57154134239507
-359.28926231329706,-44.8448134585341
-359.40858052276747,-44.86384234229654
-359.25643596062105,-44.847042195821
-359.2504132526874,-44.83785682665923
-359.6230639832604,-44.76437384569258
-359.15450487859584,-44.43078274443723
-359.84913727026833,-44.62939341256284
-359.8394794276039,-44.37613412886201
-359.78140160730845,-44.389073291739905
-359.6736553053986,-43.76415937553495
-359.7042293748823,-43.29467831381897
-359.7784401180752,-43.854437379951335
-359.7678147821689,-43.90279210008459
-359.8720955156597,-43.99247799923993
-359.80520394682515,-44.2396929313674
-359.6543741462157,-45.04856315021659
-359.75242002645916,-44.295572218918096
-359.70916985239523,-45.04184345220536
-359.7519876939091,-45.567621296165335
-359.50505328199097,-45.065255835657645
-359.2889197815236,-44.4275016371984
-359.4739234291422,-44.47206361520748
-359.5762008323529,-45.10512364580247
-359.8268245187146,-45.69954497919715
-359.6750181182217,-45.36367868107434
-359.55339837176723,-44.989252675404934
-359.5976815051049,-44.41857776611402
-359.5774292278751,-44.73734372943916
-359.88509142732926,-44.83257975316199
-359.7849405784417,-44.826354878919
-359.68961202626986,-44.97298873086887
-359.7622637828827,-45.081026491898
-360.04598040656634,-45.31368163795508
-359.67829081129753,-45.437610805686845
-359.6197257146576,-45.04590463226845
-359.6833004915519,-44.59099833712091
-359.5027638341368,-45.23050084381999
-359.6657325466579,-44.52627800622864
-359.5810088380093,-44.978346189012896
-359.6153696555646,-44.93305601846005
-359.728839561929,-45.14153742754592
-359.42653987590046,-44.86064673126261
-359.6087672637122,-44.88398463957626
-359.6043875078493,-45.02755529901809
-359.807752661603,-44.75152334620761
-359.62580263264044,-45.49025191608285
-359.53476939986746,-44.79202572004944
-359.50668949862825,-44.99476199848073
-359.55374264996783,-45.05188625684347
-359.51883582026517,-45.10939003638664
-359.52498813766493,-45.14309759501744
-359.5356211309057,-45.042692873382656
-359.48706000440177,-44.97338284249878
-359.76001054844517,-44.98309808784433
-359.4409562043802,-45.12878923332786
-359.24529668794764,-45.07583109197349
-359.72128555321177,-45.19766535390683
-359.29129022552763,-45.219781695565736
-359.32272061783044,-45.10946526455803
-359.21035157016286,-45.04374321835578
-359.0189283374691,-45.16535672129418
-359.52952309877674,-44.62207696597135
-359.1981593215195,-44.83186252826429
-359.28950580506665,-44.82936357769511
-359.5428783278711,-44.674223694276854
-359.45773359423276,-44.43791928457259
-359.5470863030183,-44.671762561856916
-359.2845484917615,-44.96334188835615
-359.47818059387583,-44.86311692478548
-359.2272610898,-44.07670886523115
-359.2190642069962,-44.507456082120655
-358.9351857901984,-44.282346110971204
-359.2770911556016,-44.64336200671976
-359.2411394560477,-44.60277186472941
-358.78294087436495,-44.85156073372355
-358.73842428887275,-44.780255576783865
-359.1973003526912,-44.180493678743794
-359.6555516650985,-44.633336723463515
-359.86050346136903,-44.635462488267784
-360.31433212574507,-44.674839885929224
-360.57470277880645,-44.86553307511708
-359.7835492168906,-44.56031376138993
-359.58041274731073,-44.1418133419146
-359.8469499127184,-44.61299820374278
-359.57734807388175,-44.74527457912104
-359.9306658445461,-44.888737403840246
-359.93834581872494,-44.690554745082174
-359.58598265442544,-44.20861484796972
-359.7611300082285,-44.6734273765834
-359.58180997026125,-44.70773441327259
-359.41640721392923,-44.444779758689336
-359.5666541438395,-44.12637631102857
-359.34051484377085,-44.68921865256039
-359.95682782164533,-44.57293852594127
-359.7190019465162,-44.237964994266285
-360.0601720538881,-44.66693555036998
-359.5123108085704,-44.29793376928414
-359.91936299180134,-44.702510213109
-360.35719386979883,-44.6513012108827
-360.0957397974862,-44.734623483136566
-359.81521980897503,-45.14199478544544
-360.00415474990893,-44.317189213137674
-359.6734847888302,-44.266046827371696
-359.65545756166523,-44.842041715540084
-359.51851469924816,-45.101106982090144
-359.476771311207,-43.92861693262598
-359.50982058692307,-44.6438623503734
-359.57865876765715,-43.765309864064925
-359.58001034175993,-44.05988908691865
-359.8374860383325,-44.58711957842767
-360.011278878447,-44.79043948326417
-359.7930189133386,-44.71951748443414
-359.4984750498154,-44.23909547160761
-359.4652901977544,-44.05874917691683
-359.20985936050073,-44.258835345425574
-359.55431562493015,-44.4072527674063
-359.503539073466,-44.08855724136877
-359.7796700062862,-44.43724454824304
-359.8569864688478,-44.4873037639989
-360.05123028209414,-44.853987604083436
-360.6196501704269,-44.23781081386479
-360.3124156008022,-44.01862373902549
-360.19351994713065,-44.39637245917309
-359.73378832082403,-44.59191334266212
-359.5936832021348,-44.92093216260455
-359.5769079703474,-44.35496040894541
-359.40219448927735,-44.29685293106879
-359.4940334923206,-43.95842124445784
-360.0136617007556,-44.23074372147091
-359.9497679101356,-44.47489864163759
