X,Z
-5.765413948563204,-2.125251408625048
-6.307967851177224,-2.929898483435929
-6.822991463780841,-3.7390634456820075
-7.251363011731897,-4.5843451080982405
-7.72922776113524,-5.423852463878176
-8.266020028272063,-6.227267907939798
-8.735410266457997,-7.0733486051155845
-9.228444208332286,-7.913884405619008
-9.736898598767208,-8.737428225938599
-10.16874367799293,-9.61029329387562
-10.606745413241145,-10.488359500566727
-11.084620270408244,-11.321552818899558
-11.614622601899104,-12.131171637041824
-11.935070607473232,-13.036272400777548
-12.396004249593194,-13.89541310001438
-12.73563934732114,-14.802267896139565
-13.264980598043799,-15.620565658109811
-13.741060760380169,-16.469158752507226
-14.085811041114987,-17.386921639024372
-14.572719843373793,-18.224777718041977
-15.098735364870867,-19.038287582685452
-15.61607341785922,-19.853748503697386
-16.194847929706388,-20.636032221642772
-16.67546543385652,-21.479396976631453
-17.187514858261896,-22.313490486768064
-17.630060628620946,-23.173823806044965
-18.11662643011944,-23.99948016108628
-18.561681544840404,-24.86106129617314
-19.050968395879583,-25.693498136937517
-19.635552591983338,-26.480784188501758
-20.01743766148494,-27.34998771534907
-20.594832733187406,-28.13840543125237
-21.05293780616754,-28.971126007180033
-21.592049523294122,-29.77983131934871
-22.10779550119958,-30.5967071374419
-22.512911956929255,-31.483692113374524
-22.96602576643051,-32.33342221954006
-23.38428693237071,-33.20201082650877
-23.837301026359857,-34.05689374516763
-24.293482052308516,-34.91344434502764
-24.57664942740565,-35.83670795740946
-24.968928269669195,-36.70850637907129
-25.235438418244005,-37.64909795741701
-25.68452946868683,-38.49768277276005
-26.158312461067595,-39.363712454247896
-26.54717878472487,-40.253610676632526
-26.932613543373122,-41.16110957620989
-27.279540613429937,-42.05613671731098
-27.782517924189023,-42.87816641725058
-28.23968012852864,-43.750955410000586
-28.71830794620444,-44.60134589006043
-29.18797432807681,-45.45082951045229
-29.714805601200602,-46.26144791718722
-30.16047655195116,-47.122358618288594
-30.628883191834156,-47.966952402251884
-31.06038330153662,-48.82267503698413
-31.53335242153975,-49.6666260029132
-32.047801982245446,-50.48733589472432
-32.559906382920765,-51.309905442265546
-33.52646702340056,-51.26332466703868
-34.10903622130128,-52.036043602833004
-34.60501934077657,-52.8555778763277
-35.000475210548544,-53.746815874069895
-35.49705525647381,-54.586226622960446
-36.04731202899625,-55.38200133209865
-36.63164662622505,-56.1624475420847
-37.153981001097655,-56.994509858271
-37.66050943627009,-57.82772975983805
-38.23710438457724,-58.61199754334235
-38.785790263656146,-59.42223880417273
-39.21434462360573,-60.29726702715857
-39.692654159688466,-61.13158657518972
-40.31840296884716,-61.87597136613909
-40.95401088486412,-62.613017759250106
-41.522778245169526,-63.41082741308649
-42.0370382887482,-64.2371958478409
-42.477502506940226,-65.10620404156424
-42.986682491096225,-65.93504828096872
-43.47423523716494,-66.76907325645942
-43.85079506446821,-67.65551956949237
-44.37728120578373,-68.46868107915488
-44.96301375397701,-69.23053931341656
-45.508694254300174,-70.04107251070083
-46.10415057848049,-70.80227513731602
-46.609840844306895,-71.63867067341549
